GIS건물통합식별번호,고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건물식별번호,집합건물구분코드,집합건물구분,대장종류코드,대장종류,건물명,건물동명,건물주부구분코드,건물주부구분명,건물대지면적,건물건축면적,건물연면적,용적율,건폐율,건축물구조코드,건축물구조명,주요용도코드,주요용도명,세부용도코드,세부용도명,건물용도분류코드,건물용도분류명,건물높이,지상층수,지하층수,허가일자,사용승인일자,데이터기준일자
1971168447364417591600000000,2814010700100550210,2814010700,인천광역시 동구 송림동,1,일반,55-210,8743,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,59.01,110.35,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,1971-04-13,1971-10-06,2023-09-14
1971168457454417578200000000,2814010700100550212,2814010700,인천광역시 동구 송림동,1,일반,55-212,8744,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,54.61,54.61,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,1971-06-25,1971-10-29,2023-09-14
1970168494534417376600000000,2814010700100550214,2814010700,인천광역시 동구 송림동,1,일반,55-214,8745,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,50.98,141.56,0,0,21,철근콘크리트구조,03000,제1종근린생활시설,03001,소매점,2,상업용,0,3,0,1970-02-18,1970-09-10,2023-09-14
1974168451494417894500000000,2814010700100550216,2814010700,인천광역시 동구 송림동,1,일반,55-216,8747,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,60.36,110.01,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,1974-04-23,1974-06-24,2023-09-14
1973168462414417884400000000,2814010700100550217,2814010700,인천광역시 동구 송림동,1,일반,55-217,8748,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,78.35,78.35,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,1972-11-07,1973-09-04,2023-09-14
1971168460934417781100000000,2814010700100550218,2814010700,인천광역시 동구 송림동,1,일반,55-218,8749,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,52.53,102.12,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,1971-03-30,1971-09-30,2023-09-14
1971168450814417803100000000,2814010700100550219,2814010700,인천광역시 동구 송림동,1,일반,55-219,8750,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,54.84,54.84,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,1971-03-22,1971-06-03,2023-09-14
1971168441234417818100000000,2814010700100550220,2814010700,인천광역시 동구 송림동,1,일반,55-220,8751,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,53.75,53.75,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,1971-06-10,1971-10-26,2023-09-14
1971168432924417827300000000,2814010700100550221,2814010700,인천광역시 동구 송림동,1,일반,55-221,8752,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,63.21,126.42,0,0,21,철근콘크리트구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,1971-05-11,1971-08-12,2023-09-14
1974168438114417711200000000,2814010700100550222,2814010700,인천광역시 동구 송림동,1,일반,55-222,8753,1,일반건축물,2,일반건축물대방,A동,,0,주건축물,0,68.13,126.51,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,1974-03-07,1974-07-02,2023-09-14
2000168430064417719300000000,2814010700100550222,2814010700,인천광역시 동구 송림동,1,일반,55-222,8754,1,일반건축물,2,일반건축물대방,B동,,0,주건축물,0,20.4,20.4,0,0,32,경량철골구조,18000,창고시설,18001,창고,7,기타,0,1,0,2000-03-09,2000-04-08,2023-09-14
1972168447554417685700000000,2814010700100550223,2814010700,인천광역시 동구 송림동,1,일반,55-223,8755,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,56.4,56.4,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,1971-08-20,1972-08-07,2023-09-14
1971168458994417674100000000,2814010700100550224,2814010700,인천광역시 동구 송림동,1,일반,55-224,8756,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,52.66,52.66,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,1971-03-22,1971-09-27,2023-09-14
1971168378014416905100000000,2814010700100550227,2814010700,인천광역시 동구 송림동,1,일반,55-227,8758,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,83.21,163.71,0,0,11,벽돌구조,03000,제1종근린생활시설,03001,소매점,2,상업용,0,2,0,1970-03-04,1971-01-08,2023-09-14
1973168373794416732700000000,2814010700100550229,2814010700,인천광역시 동구 송림동,1,일반,55-229,8760,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,51.31,100.46,0,0,11,벽돌구조,01000,단독주택,01000,단독주택,1,주거용,0,2,0,1973-05-09,1973-11-01,2023-09-14
1973168372514416629200000000,2814010700100550230,2814010700,인천광역시 동구 송림동,1,일반,55-230,8579,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,0,100.91,0,0,11,벽돌구조,01000,단독주택,01000,단독주택,1,주거용,0,2,0,1973-05-09,1973-11-01,2023-09-14
1973168369774416547500000000,2814010700100550231,2814010700,인천광역시 동구 송림동,1,일반,55-231,8761,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,54.78,103.21,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,1973-05-09,1973-11-01,2023-09-14
1973168360974416650200000000,2814010700100550236,2814010700,인천광역시 동구 송림동,1,일반,55-236,8762,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,55.74,104.85,0,0,11,벽돌구조,01000,단독주택,01000,단독주택,1,주거용,0,2,0,1973-05-09,1973-12-17,2023-09-14
1973168362824416757100000000,2814010700100550238,2814010700,인천광역시 동구 송림동,1,일반,55-238,8763,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,56.63,105.85,0,0,21,철근콘크리트구조,01000,단독주택,01000,단독주택,1,주거용,0,2,0,1973-05-09,1973-11-01,2023-09-14
